Compiled (Cleaned) data,,,,,,,,,,,,
,,,,,,,,,,,,
,https://fao.org/faostat,https://data.gov.in,https://data.gov.in,,Agricultural-Statistics-at-a-Glance-2021-English-version.pdf,food_price_index_nominal_real_nov.xls,https://fao.org/faostat,Consumer price index (2010 = 100) - India | Data,Agricultural-Statistics-at-a-Glance-2021-English-version.pdf,Agricultural-Statistics-at-a-Glance-2021-English-version.pdf,Agricultural-Statistics-at-a-Glance-2021-English-version.pdf,Agricultural-Statistics-at-a-Glance-2021-English-version.pdf
Year,Target - Crop  Yield (Kg./Hectare),Rainfall Patterns (mm),Temperature Variation,Frequency of Extreme Weather Events,Area under Irrigation (%),FAO Food Price Index (2014-2016=100),Exchange Rates,CPI India,Agricultural Exports (Value in Crore),Per Capita Net Availability of Wheat (Kilograms per year),Consumption of Electricity for Agricultural Purposes,Consumption of Fertilisers (Lakh Tonnes)
1961,850.7,27.58,24.97,,31.89,104.3,-,2.57033297,-,28.9,-,-
1962,889.6,27.83,25.05,,33.8,101.1,-,2.663692989,-,-,-,-
1963,792.9,27.87,25.24,,34.94,107.7,-,2.742169683,-,-,-,-
1964,729.9,27.61,25.23,,36.76,111.2,-,3.108393605,-,-,-,-
1965,913.2,27.88,25.23,,43.07,111.1,-,3.402906395,-,-,-,-
1966,826.8,27.91,25.52,,47.97,108.1,-,3.770483183,-,34.8,-,-
1967,887.4,27.8,25.17,,43.35,106,-,4.262991331,-,-,-,-
1968,1102.8,27.95,25.09,,49.85,101.5,-,4.401001942,-,-,-,-
1969,1168.8,28,25.58,,51.14,100.9,-,4.375294079,-,-,-,-
1970,1208.6,27.65,25.23,,54.25,100.6,7.500000007,4.5980955,-,-,-,-
1971,1306.6,27.31,24.83,,54.49,101.8,7.491935231,4.739714022,-,37.8,-,-
1972,1379.9,28.07,25.22,,57.62,99.8,7.594468374,5.045051018,-,-,-,-
1973,1270.8,27.8,25.37,,57.7,117.1,7.742038562,5.899723828,-,-,-,-
1974,1171.9,27.79,25.08,,61.77,138.1,8.101603227,7.586970156,-,-,-,-
1975,1338.4,27.33,24.84,,61.76,132.1,8.375891946,8.023101847,-,-,-,-
1976,1410.3,27.59,25.11,,65.09,113.1,8.960412728,7.410622454,-,29.1,-,-
1977,1386.6,27.74,25.29,,64.6,105.1,8.738576171,8.026257698,-,-,-,-
1978,1479.8,27.58,25.13,,65.96,100.1,8.192840348,8.228764093,-,-,-,-
1979,1568.3,28.29,25.62,,68.32,100,8.125790946,8.745175272,-,-,-,-
1980,1435.6,27.92,25.6,,69.98,100.2,7.862944701,9.737409285,-,-,-,-
1981,1629.9,27.96,25.29,,70.68,97.7,8.658522817,11.01423164,-,47.3,-,60.64
1982,1691.3,28.07,25.25,,72.53,88.6,9.455131933,11.88333633,-,-,-,63.88
1983,1815.8,28.12,25.12,,73,86.4,10.09889824,13.29366035,-,-,18234,77.1
1984,1843.2,27.65,25.22,,74.47,92.3,11.36258333,14.39954761,-,-,20960,82.11
1985,1870.1,27.71,25.4,,74.61,84,12.36875,15.19964756,-,50.6,23422,84.74
1986,2046,27.82,25.23,,76.34,71.4,12.61083333,16.52653434,-,-,29444,86.45
1987,1916.2,28.55,25.65,,76.84,67.2,12.9615,17.98105542,-,-,35267,87.84
1988,2001.9,27.92,25.55,,79.25,71.1,13.91708333,19.6683027,-,-,38878,110.4
1989,2244.4,27.66,25.15,,80.27,75.3,16.2255,21.05969351,-,-,44056,115.68
1990,2121.1,27.78,25.26,,81.14,76.6,17.5035,22.94900758,6012.76,48.4,50321,125.46
1991,2281.4,28.04,25.39,,83.68,76.1,22.74243333,26.13209143,7838.04,60,58557,127.28
1992,2394,27.98,25.25,,84.24,77,25.91808333,29.21249455,9040.3,57.9,63328,121.53
1993,2326.7,28.08,25.46,,84.77,72.2,30.49329167,31.06073709,12586.55,51.2,70699,123.66
1994,2379.6,27.84,25.39,,85.12,80.4,31.3737425,34.24382141,13222.76,58.2,79301,135.64
1995,2559,28.18,25.46,,85.8,83.6,32.42707667,37.74521317,20397.74,63,85732,138.77
1996,2482.8,27.91,25.42,,86.86,86.3,35.43317333,41.13365846,24161.29,64.3,84019,143.08
1997,2678.9,28.13,25.35,,86.33,82.4,36.31328583,44.08057745,24832.45,65.4,91242,161.88
1998,2485.2,28.31,25.72,,86.6,78.9,41.259365,49.91280767,25510.64,55.3,97195,167.98
1999,2590.1,27.92,25.57,,87.16,68.8,43.05542833,52.24364614,25313.66,59.2,90934,180.69
2000,2778.5,27.85,25.53,,88.37,67.5,44.941605,54.33832165,28357.37,58.4,84729,167.02
2001,2708.1,27.92,25.6,,88.6,72.3,47.18641417,56.3919261,29728.61,49.6,81673,173.6
2002,2762.1,28.17,25.74,,88.8,70.6,48.61031917,58.8151729,34653.94,60.8,84486,160.94
2003,2610,28.1,25.61,,89.56,73,46.58328417,61.05359545,36415.48,65.8,87089,167.99
2004,2713.2,28.02,25.65,,89.85,77.5,45.31646667,63.35363809,41602.65,59.2,88555,183.98
2005,2601.6,28.25,25.58,,90.55,77.2,44.099975,66.04385126,45710.97,56.3,90292,203.41
2006,2618.8,28.02,25.72,,90.85,81.1,45.30700833,69.87209853,57767.87,56.3,99023,216.51
2007,2707.9,28.11,25.67,,91.32,99.1,41.34853333,74.32496447,74673.48,57.6,104182,225.7
2008,2802.2,27.85,25.55,,91.69,114.5,43.50518333,80.53055424,81064.52,53,107776,249.09
2009,2907.1,28.55,26.05,,91.76,95.2,48.40526667,89.29417338,84443.95,56.5,119492,264.86
2010,2839.5,28.2,26.03,,92.18,106.9,45.72581212,100,113046.58,61.4,126377,281.22
2011,2988.6,28.06,25.62,,93.05,118.7,46.67046667,108.9117934,182801,59.7,140960,277.9
2012,3177.5,28.26,25.6,,93.49,111.4,53.43723333,119.2355389,227192.61,57.8,147462,255.36
2013,3153.8,28.03,25.68,,93.64,109.5,58.59784542,131.1804103,262778.54,66.8,152744,244.82
2014,3145.7,28.57,25.73,,94.28,106.3,61.02951446,139.9244461,239681.04,66.8,168913,255.76
2015,2749.6,28.46,25.92,,94.23,95.1,64.15194446,146.7905015,215396.32,61.3,173185,267.53
